Island,Observer,spec,Distance,Type,Mo,Day,Year,Transect,Station,Hour,CanopyCover,Rain,Wind,DetC
2,JE,COKI,90,1,4,12,82,8,14,953,20,0,2,3
2,JE,COKI,130,1,4,12,82,8,15,1006,20,0,2,3
2,JE,COKI,200,1,4,5,82,1,6,824,50,0,3,4
2,JE,COKI,80,1,4,5,82,1,6,824,50,0,3,4
2,JE,COKI,80,1,4,5,82,1,7,811,50,0,3,4
2,JE,COKI,200,1,4,5,82,1,7,811,50,0,3,4
2,JE,COKI,180,1,4,7,82,2,12,614,60,0,1,4
2,JE,COKI,150,1,4,6,82,2,26,709,90,0,2,4
2,JE,COKI,200,1,4,6,82,2,26,709,90,0,2,4
2,JE,COKI,80,1,4,6,82,2,26,709,90,0,2,4
2,JE,COKI,180,1,4,6,82,2,26,709,90,0,2,4
2,JE,COKI,300,1,4,6,82,2,26,709,90,0,2,4
2,JE,COKI,300,1,4,6,82,2,27,655,90,0,2,4
2,JE,COKI,250,1,4,6,82,2,27,655,90,0,2,4
2,JE,COKI,200,1,4,6,82,2,27,655,90,0,2,4
2,JE,COKI,36,4,3,29,82,5,5,715,20,0,0,4
2,JE,COKI,10,4,3,29,82,5,5,715,20,0,0,4
2,JE,COKI,10,4,3,29,82,5,5,715,20,0,0,4
2,JE,COKI,110,1,3,29,82,5,5,715,20,0,0,4
2,JE,COKI,150,1,3,29,82,5,5,715,20,0,0,4
2,JE,COKI,110,1,3,29,82,5,6,727,20,0,0,4
2,JE,COKI,150,1,3,29,82,5,6,727,20,0,0,4
2,JE,COKI,110,1,3,29,82,5,6,727,20,0,0,4
2,JE,COKI,90,1,3,29,82,5,6,727,20,0,0,4
2,JE,COKI,140,1,3,29,82,5,14,932,40,0,0,4
2,JE,COKI,80,1,3,29,82,5,14,932,40,0,0,4
2,JE,COKI,350,1,4,9,82,7,17,916,30,0,3,4
2,JE,COKI,300,1,4,9,82,7,17,916,30,0,3,4
2,JE,COKI,150,1,4,5,82,1,2,918,50,0,3,5
2,JE,COKI,125,1,4,5,82,1,4,851,50,0,3,5
2,JE,COKI,140,1,4,5,82,1,4,851,50,0,3,5
2,JE,COKI,90,2,4,5,82,1,10,728,50,0,3,5
2,JE,COKI,90,2,4,5,82,1,10,728,50,0,3,5
2,JE,COKI,90,2,4,5,82,1,10,728,50,0,3,5
2,JE,COKI,90,4,4,5,82,1,10,728,50,0,3,5
2,JE,COKI,110,4,4,5,82,1,10,728,50,0,3,5
2,JE,COKI,200,1,4,5,82,1,14,630,50,0,3,5
2,JE,COKI,250,1,4,5,82,1,15,616,50,0,3,5
2,JE,COKI,200,1,4,5,82,1,15,616,50,0,3,5
2,JE,COKI,400,1,4,7,82,2,2,819,50,0,1,5
2,JE,COKI,250,4,4,7,82,2,2,819,50,0,1,5
2,JE,COKI,400,1,4,7,82,2,4,754,50,0,1,5
2,JE,COKI,350,1,4,7,82,2,4,754,50,0,1,5
2,JE,COKI,400,1,4,7,82,2,4,754,50,0,1,5
2,JE,COKI,400,1,4,7,82,2,5,740,50,0,1,5
2,JE,COKI,400,1,4,7,82,2,6,728,60,0,1,5
2,JE,COKI,300,1,4,7,82,2,7,715,60,0,1,5
2,JE,COKI,300,1,4,7,82,2,7,715,60,0,1,5
2,JE,COKI,190,1,4,7,82,2,8,703,60,0,1,5
2,JE,COKI,190,1,4,7,82,2,9,651,60,0,1,5
2,JE,COKI,220,1,4,7,82,2,9,651,60,0,1,5
2,JE,COKI,160,1,4,7,82,2,11,626,60,0,1,5
2,JE,COKI,120,1,4,7,82,2,11,626,60,0,1,5
2,JE,COKI,200,1,4,7,82,2,11,626,60,0,1,5
2,JE,COKI,250,1,4,6,82,2,16,917,90,0,2,5
2,JE,COKI,250,1,4,6,82,2,22,758,90,0,2,5
2,JE,COKI,180,1,4,6,82,2,22,758,90,0,2,5
2,JE,COKI,200,1,4,6,82,2,22,758,90,0,2,5
2,JE,COKI,120,1,4,6,82,2,24,734,90,0,2,5
2,JE,COKI,140,1,4,6,82,2,24,734,90,0,2,5
2,JE,COKI,60,1,4,6,82,2,24,734,90,0,2,5
2,JE,COKI,70,1,4,6,82,2,24,734,90,0,2,5
2,JE,COKI,250,1,4,6,82,2,25,722,90,0,2,5
2,JE,COKI,200,1,3,29,82,5,4,701,20,0,0,5
2,JE,COKI,70,4,3,29,82,5,4,701,20,0,0,5
2,JE,COKI,110,4,3,29,82,5,4,701,20,0,0,5
2,JE,COKI,200,1,3,29,82,5,4,701,20,0,0,5
2,JE,COKI,60,2,3,29,82,5,4,701,20,0,0,5
2,JE,COKI,46,1,3,29,82,5,12,859,30,0,0,5
2,JE,COKI,150,2,3,29,82,5,12,859,30,0,0,5
2,JE,COKI,60,2,3,29,82,5,13,920,40,0,0,5
2,JE,COKI,200,1,4,14,82,7,3,757,40,0,2,5
2,JE,COKI,180,1,4,14,82,7,8,645,40,0,2,5
2,JE,COKI,160,1,4,14,82,7,8,645,40,0,2,5
2,JE,COKI,300,1,4,14,82,7,8,645,40,0,2,5
2,JE,COKI,200,4,4,14,82,7,8,645,40,0,2,5
2,JE,COKI,200,4,4,14,82,7,8,645,40,0,2,5
2,JE,COKI,80,2,4,9,82,7,9,612,50,0,3,5
2,JE,COKI,80,2,4,9,82,7,9,612,50,0,3,5
2,JE,COKI,55,1,4,9,82,7,10,627,50,0,3,5
2,JE,COKI,70,1,4,9,82,7,10,627,50,0,3,5
2,TA,COKI,65,1,4,5,82,1,22,729,30,0,2,1
2,TA,COKI,55,1,4,5,82,1,22,729,30,0,2,1
2,TA,COKI,55,1,4,5,82,1,22,729,30,0,2,1
2,TA,COKI,200,1,4,7,82,2,1,833,50,0,1,1
2,TA,COKI,300,1,4,7,82,2,1,833,50,0,1,1
2,TA,COKI,190,1,4,6,82,3,17,945,90,0,2,1
2,TA,COKI,200,1,4,6,82,3,17,945,90,0,2,1
2,TA,COKI,65,1,3,29,82,5,2,635,10,0,0,1
2,TA,COKI,65,4,3,29,82,5,2,635,10,0,0,1
2,TA,COKI,75,1,3,29,82,5,2,635,10,0,0,1
2,TA,COKI,250,1,4,9,82,7,11,646,80,0,3,1
2,TA,COKI,200,1,4,9,82,7,11,646,80,0,3,1
2,TA,COKI,75,1,4,9,82,7,12,709,70,0,3,1
2,TA,COKI,250,1,4,9,82,7,12,709,70,0,3,1
2,TA,COKI,125,1,4,9,82,7,12,709,70,0,3,1
2,TA,COKI,95,1,4,9,82,7,14,759,70,0,3,1
2,TA,COKI,100,1,4,9,82,7,14,759,70,0,3,1
2,TA,COKI,95,1,4,9,82,7,15,824,60,0,3,1
2,TA,COKI,110,1,4,12,82,10,8,742,10,0,2,1
2,TA,COKI,95,1,4,12,82,10,8,742,10,0,2,1
2,TA,COKI,200,1,4,12,82,10,9,754,10,0,2,1
2,TA,COKI,200,1,4,12,82,10,9,754,10,0,2,1
2,TA,COKI,150,1,4,5,82,1,18,821,30,0,2,2
2,TA,COKI,150,1,4,5,82,1,18,821,30,0,2,2
2,TA,COKI,70,1,4,5,82,1,27,627,30,0,2,2
2,TA,COKI,65,1,4,5,82,1,27,627,30,0,2,2
2,TA,COKI,95,1,4,7,82,2,3,806,50,0,1,2
2,TA,COKI,20,1,4,6,82,3,10,807,90,0,2,2
2,TA,COKI,20,1,4,6,82,3,10,807,90,0,2,2
2,TA,COKI,35,1,4,6,82,3,10,807,90,0,2,2
2,TA,COKI,95,1,4,6,82,3,11,821,90,0,2,2
2,TA,COKI,175,1,4,6,82,3,12,834,90,0,2,2
2,TA,COKI,175,1,4,6,82,3,12,834,90,0,2,2
2,TA,COKI,200,1,4,6,82,3,12,834,90,0,2,2
2,TA,COKI,150,1,4,6,82,3,16,929,90,0,2,2
2,TA,COKI,150,1,4,6,82,3,16,929,90,0,2,2
2,TA,COKI,200,1,4,6,82,3,16,929,90,0,2,2
2,TA,COKI,200,1,4,6,82,3,16,929,90,0,2,2
2,TA,COKI,75,1,4,6,82,3,18,959,90,0,2,2
2,TA,COKI,75,1,4,6,82,3,18,959,90,0,2,2
2,TA,COKI,65,1,4,6,82,3,19,1011,90,0,2,2
2,TA,COKI,65,1,4,6,82,3,19,1011,90,0,2,2
2,TA,COKI,75,1,3,29,82,5,1,620,10,0,0,2
2,TA,COKI,75,1,3,29,82,5,1,620,10,0,0,2
2,TA,COKI,50,1,3,29,82,5,3,649,10,0,0,2
2,TA,COKI,50,1,3,29,82,5,3,649,10,0,0,2
2,TA,COKI,75,1,3,29,82,5,3,649,10,0,0,2
2,TA,COKI,100,1,3,29,82,5,7,740,20,0,0,2
2,TA,COKI,100,1,3,29,82,5,7,740,20,0,0,2
2,TA,COKI,75,1,3,29,82,5,7,740,20,0,0,2
2,TA,COKI,75,1,3,29,82,5,7,740,20,0,0,2
2,TA,COKI,45,1,3,29,82,5,7,740,20,0,0,2
2,TA,COKI,45,1,3,29,82,5,7,740,20,0,0,2
2,TA,COKI,75,1,3,29,82,5,8,749,20,0,0,2
2,TA,COKI,95,1,3,29,82,5,8,749,20,0,0,2
2,TA,COKI,65,4,3,29,82,5,9,808,30,0,0,2
2,TA,COKI,95,1,3,29,82,5,9,808,30,0,0,2
2,TA,COKI,85,1,3,29,82,5,9,808,30,0,0,2
2,TA,COKI,95,1,3,29,82,5,10,825,30,0,0,2
2,TA,COKI,95,1,3,29,82,5,10,825,30,0,0,2
2,TA,COKI,120,1,3,29,82,5,10,825,30,0,0,2
2,TA,COKI,95,1,3,29,82,5,17,1016,50,0,0,2
2,TA,COKI,250,1,3,29,82,5,17,1016,50,0,0,2
2,TA,COKI,45,1,3,29,82,5,17,1016,50,0,0,2
2,TA,COKI,95,1,4,9,82,7,10,627,80,0,3,2
2,TA,COKI,95,1,4,9,82,7,10,627,80,0,3,2
2,TA,COKI,125,1,4,9,82,7,13,731,70,0,3,2
2,TA,COKI,20,2,4,9,82,7,13,731,70,0,3,2
2,TA,COKI,6,2,4,9,82,7,13,731,70,0,3,2
2,TA,COKI,75,1,4,9,82,7,18,947,50,0,3,2
2,TA,COKI,200,1,4,9,82,7,18,947,50,0,3,2
2,TA,COKI,145,1,4,9,82,7,19,1006,40,0,3,2
2,TA,COKI,100,1,4,9,82,7,19,1006,40,0,3,2
2,TA,COKI,95,1,4,12,82,10,2,624,10,0,2,2
2,TA,COKI,95,1,4,12,82,10,2,624,10,0,2,2
2,TA,COKI,200,1,4,12,82,10,10,807,10,0,2,2
2,TA,COKI,200,1,4,12,82,10,10,807,10,0,2,2
2,TA,COKI,100,1,4,12,82,10,11,821,10,0,2,2
2,TA,COKI,75,1,4,14,82,12,2,623,20,0,2,2
2,TA,COKI,95,1,4,14,82,12,2,623,20,0,2,2
2,TA,COKI,5,1,4,14,82,12,3,638,20,0,2,2
2,TA,COKI,4,1,4,14,82,12,3,638,20,0,2,2
2,TA,COKI,100,1,4,14,82,12,3,638,20,0,2,2
2,TA,COKI,15,2,4,14,82,12,4,652,20,0,2,2
2,TA,COKI,120,1,4,14,82,12,4,652,20,0,2,2
2,TA,COKI,75,1,4,14,82,12,5,706,20,0,2,2
2,TA,COKI,70,1,4,14,82,12,5,706,20,0,2,2
2,TA,COKI,110,1,4,14,82,12,6,722,20,0,2,2
2,TA,COKI,110,1,4,14,82,12,6,722,20,0,2,2
2,TA,COKI,190,1,4,14,82,12,7,737,20,0,2,2
2,TA,COKI,150,1,4,14,82,12,8,802,20,0,2,2
2,TA,COKI,150,1,4,14,82,12,8,802,20,0,2,2
2,TA,COKI,170,1,4,14,82,12,9,827,20,0,2,2
2,TA,COKI,75,1,4,14,82,12,9,827,20,0,2,2
2,TA,COKI,250,1,4,14,82,12,11,902,30,0,3,2
2,TA,COKI,250,1,4,14,82,12,11,902,30,0,3,2
2,TA,COKI,170,1,4,17,82,14,1,707,20,0,2,2
2,TA,COKI,80,1,4,17,82,14,1,707,20,0,2,2
2,TA,COKI,80,1,4,17,82,14,1,707,20,0,2,2
2,TA,COKI,70,1,4,17,82,14,2,718,20,0,2,2
2,TA,COKI,70,1,4,17,82,14,2,718,20,0,2,2
2,TA,COKI,85,1,4,17,82,14,2,718,20,0,2,2
2,TA,COKI,200,1,4,17,82,14,3,730,20,0,2,2
2,TA,COKI,70,1,4,17,82,14,4,743,20,0,2,2
2,TA,COKI,100,1,4,17,82,14,5,754,20,0,2,2
2,TA,COKI,250,1,4,17,82,14,5,754,20,0,2,2
2,TA,COKI,155,1,4,17,82,14,6,805,20,0,2,2
2,TA,COKI,95,1,4,17,82,14,7,817,20,0,2,2
2,TA,COKI,95,1,4,17,82,14,7,817,20,0,2,2
2,TA,COKI,95,1,4,17,82,14,7,817,20,0,2,2
2,TA,COKI,95,1,4,17,82,14,7,817,20,0,2,2
2,TA,COKI,275,1,4,17,82,14,9,841,20,0,2,2
2,TA,COKI,95,1,4,17,82,14,9,841,20,0,2,2
2,TA,COKI,250,1,4,17,82,14,10,853,20,0,2,2
2,TA,COKI,95,1,4,17,82,14,10,853,20,0,2,2
2,TA,COKI,95,1,4,5,82,1,17,832,30,0,2,3
2,TA,COKI,60,1,4,5,82,1,28,615,30,0,2,3
2,TA,COKI,75,1,4,5,82,1,28,615,30,0,2,3
2,TA,COKI,125,1,4,14,82,12,1,609,20,0,2,3
2,TA,COKI,175,1,4,14,82,12,1,609,20,0,2,3
2,TA,COKI,160,1,4,14,82,12,1,609,20,0,2,3
2,TA,COKI,80,1,4,7,82,2,11,626,60,0,1,4
2,TA,COKI,95,1,4,7,82,2,11,626,60,0,1,4
2,TA,COKI,90,1,4,7,82,2,12,614,60,0,1,4
2,TA,COKI,125,1,4,6,82,3,3,642,90,0,2,4
2,TA,COKI,150,1,4,6,82,3,3,642,90,0,2,4
2,TA,COKI,150,1,4,6,82,3,3,642,90,0,2,4
2,TA,COKI,175,1,4,6,82,3,5,706,90,0,2,4
2,TA,COKI,180,1,4,6,82,3,5,706,90,0,2,4
2,TA,COKI,65,1,4,6,82,3,5,706,90,0,2,4
2,TA,COKI,65,1,4,6,82,3,5,706,90,0,2,4
2,TA,COKI,175,1,4,6,82,3,6,717,90,0,2,4
2,TA,COKI,180,1,4,6,82,3,6,717,90,0,2,4
2,TA,COKI,175,1,4,6,82,3,6,717,90,0,2,4
2,TA,COKI,85,1,4,6,82,3,14,901,90,0,2,4
2,TA,COKI,85,1,4,6,82,3,14,901,90,0,2,4
2,TA,COKI,95,1,4,6,82,3,15,916,90,0,2,4
2,TA,COKI,75,1,3,29,82,5,6,727,20,0,0,4
2,TA,COKI,75,1,3,29,82,5,6,727,20,0,0,4
2,TA,COKI,95,1,3,29,82,5,6,727,20,0,0,4
2,TA,COKI,75,1,3,29,82,5,6,727,20,0,0,4
2,TA,COKI,100,1,4,9,82,7,17,916,50,0,3,4
2,TA,COKI,95,1,4,9,82,7,17,916,50,0,3,4
2,TA,COKI,100,1,4,12,82,10,4,652,10,0,2,4
2,TA,COKI,170,1,4,12,82,10,4,652,10,0,2,4
2,TA,COKI,150,1,4,12,82,10,5,706,10,0,2,4
2,TA,COKI,150,1,4,12,82,10,6,719,10,0,2,4
2,TA,COKI,170,1,4,12,82,10,6,719,10,0,2,4
2,TA,COKI,190,1,4,12,82,10,7,730,10,0,2,4
2,TA,COKI,200,1,4,12,82,10,12,833,10,0,2,4
2,TA,COKI,95,1,4,12,82,10,13,846,10,0,2,4
2,TA,COKI,80,2,4,5,82,1,20,755,30,0,2,5
2,TA,COKI,150,1,4,5,82,1,21,742,30,0,2,5
2,TA,COKI,150,1,4,5,82,1,21,742,30,0,2,5
2,TA,COKI,160,1,4,5,82,1,21,742,30,0,2,5
2,TA,COKI,170,1,4,5,82,1,21,742,30,0,2,5
2,TA,COKI,250,1,4,5,82,1,23,713,30,0,2,5
2,TA,COKI,250,1,4,5,82,1,23,713,30,0,2,5
2,TA,COKI,200,1,4,5,82,1,24,702,30,0,2,5
2,TA,COKI,200,1,4,5,82,1,24,702,30,0,2,5
2,TA,COKI,150,1,4,5,82,1,24,702,30,0,2,5
2,TA,COKI,200,1,4,5,82,1,25,651,30,0,2,5
2,TA,COKI,200,1,4,5,82,1,25,651,30,0,2,5
2,TA,COKI,85,1,4,5,82,1,26,639,30,0,2,5
2,TA,COKI,95,1,4,5,82,1,26,639,30,0,2,5
2,TA,COKI,250,1,4,5,82,1,26,639,30,0,2,5
2,TA,COKI,250,1,4,7,82,2,2,819,50,0,1,5
2,TA,COKI,250,1,4,7,82,2,4,754,50,0,1,5
2,TA,COKI,300,1,4,7,82,2,4,754,50,0,1,5
2,TA,COKI,270,1,4,7,82,2,4,754,50,0,1,5
2,TA,COKI,270,1,4,7,82,2,5,740,50,0,1,5
2,TA,COKI,300,1,4,7,82,2,6,728,60,0,1,5
2,TA,COKI,200,1,4,7,82,2,7,715,60,0,1,5
2,TA,COKI,200,1,4,7,82,2,9,651,60,0,1,5
2,TA,COKI,125,1,4,6,82,3,1,619,90,0,2,5
2,TA,COKI,75,1,4,6,82,3,1,619,90,0,2,5
2,TA,COKI,150,1,4,6,82,3,2,632,90,0,2,5
2,TA,COKI,100,1,4,6,82,3,2,632,90,0,2,5
2,TA,COKI,175,1,4,6,82,3,2,632,90,0,2,5
2,TA,COKI,95,1,4,6,82,3,2,632,90,0,2,5
2,TA,COKI,95,1,4,6,82,3,2,632,90,0,2,5
2,TA,COKI,75,1,4,6,82,3,4,654,90,0,2,5
2,TA,COKI,75,1,4,6,82,3,4,654,90,0,2,5
2,TA,COKI,95,1,4,6,82,3,7,730,90,0,2,5
2,TA,COKI,55,1,4,6,82,3,7,730,90,0,2,5
2,TA,COKI,125,1,4,6,82,3,7,730,90,0,2,5
2,TA,COKI,95,1,4,6,82,3,13,846,90,0,2,5
2,TA,COKI,100,1,4,6,82,3,13,846,90,0,2,5
2,TA,COKI,175,1,4,6,82,3,13,846,90,0,2,5
2,TA,COKI,150,1,3,29,82,5,4,701,20,0,0,5
2,TA,COKI,85,2,3,29,82,5,4,701,20,0,0,5
2,TA,COKI,85,2,3,29,82,5,4,701,20,0,0,5
2,TA,COKI,75,1,3,29,82,5,4,701,20,0,0,5
2,TA,COKI,100,1,3,29,82,5,5,715,20,0,0,5
2,TA,COKI,150,1,3,29,82,5,5,715,20,0,0,5
2,TA,COKI,85,1,3,29,82,5,5,715,20,0,0,5
2,TA,COKI,35,2,3,29,82,5,5,715,20,0,0,5
2,TA,COKI,55,2,3,29,82,5,5,715,20,0,0,5
2,TA,COKI,55,2,3,29,82,5,5,715,20,0,0,5
2,TA,COKI,170,1,3,29,82,5,11,838,30,0,0,5
2,TA,COKI,150,4,3,29,82,5,11,838,30,0,0,5
2,TA,COKI,75,1,3,29,82,5,11,838,30,0,0,5
2,TA,COKI,20,1,3,29,82,5,12,859,30,0,0,5
2,TA,COKI,125,1,3,29,82,5,13,920,40,0,0,5
2,TA,COKI,125,1,3,29,82,5,13,920,40,0,0,5
2,TA,COKI,15,2,3,29,82,5,14,932,40,0,0,5
2,TA,COKI,95,1,3,29,82,5,14,932,40,0,0,5
2,TA,COKI,190,1,4,9,82,7,9,612,80,0,3,5
2,TA,COKI,200,1,4,9,82,7,9,612,80,0,3,5
2,TA,COKI,100,1,4,9,82,7,9,612,80,0,3,5
2,TA,COKI,170,1,4,12,82,10,1,611,10,0,2,5
2,TA,COKI,170,1,4,12,82,10,1,611,10,0,2,5
2,TA,COKI,170,1,4,12,82,10,14,859,10,0,2,5
2,TA,COKI,190,2,4,12,82,10,14,859,10,0,2,5
2,TA,COKI,190,2,4,12,82,10,14,859,10,0,2,5
2,TA,COKI,95,1,4,12,82,10,15,911,10,0,2,5
2,TA,COKI,95,2,4,12,82,10,15,911,10,0,2,5
2,TA,COKI,210,1,4,12,82,10,16,923,10,0,2,5
2,TA,COKI,75,2,4,12,82,10,17,935,10,0,2,5
2,TA,COKI,110,1,4,12,82,10,18,947,10,0,2,5
2,TA,COKI,170,1,4,14,82,12,12,916,30,0,3,5
2,TA,COKI,170,1,4,14,82,12,12,916,30,0,3,5
2,TA,COKI,100,1,4,14,82,12,12,916,30,0,3,5
2,TA,COKI,200,1,4,14,82,12,14,944,30,0,3,5
2,TA,COKI,200,1,4,14,82,12,14,944,30,0,3,5
2,PA,COKI,120,1,4,5,82,1,11,714,50,0,3,1
2,PA,COKI,150,1,4,13,82,6,1,824,50,0,1,1
2,PA,COKI,110,1,4,13,82,6,2,812,50,0,1,1
2,PA,COKI,130,1,4,13,82,6,4,745,50,0,1,1
2,PA,COKI,120,1,4,13,82,6,4,745,50,0,1,1
2,PA,COKI,150,1,4,8,82,6,7,930,40,0,3,1
2,PA,COKI,120,1,4,8,82,6,7,930,40,0,3,1
2,PA,COKI,120,1,4,8,82,6,9,851,50,0,3,1
2,PA,COKI,90,1,4,8,82,6,9,851,50,0,3,1
